	AS1	AS2	AS3	SD1	SD2	SD3	SD4	SD5	SD6	SD8	SD9
1000547	0	7.75	1	0	0	0	0	0	4.5	6.5	2
1007399	21	2262.66666666667	1137.33333333333	0	5.33333333333333	266.666666666667	1	0.666666666666667	2825	1706	696.666666666667
100791	0	0	0	3	3	0	3	4	0	0	0
1008348	0	11.2	0	0	0	0	0	0	1.8	1.2	0.8
1010113	0	0	0	0.285714285714286	0	0.285714285714286	0	0	19	0	0.285714285714286
1010458	0	0.75	0.75	0	0	0	0	0	1.25	0.5	0
1010721	0	0	0	0.5	0	0.5	1	0.5	0	0	0
1015143	2.5	118.25	183	0.5	7.5	1	0	0	537.75	340.5	444.25
1016369	79.4	0	0	98.8	75.6	83.4	83	68	0	0	0
1026498	0	0	11.3333333333333	0	1.66666666666667	1.33333333333333	0	0	0.666666666666667	23.3333333333333	14.6666666666667
1027904	0.8	0	0	0	0.6	1	0	0	0	0	0
1033413	0.5	0	0	0.5	0.666666666666667	0	0.333333333333333	0	0	0	0
1036749	0.75	1.5	0	0	0.5	0	0	0	0.5	1.25	0.5
103728	4	0	0	4.66666666666667	2.33333333333333	2.66666666666667	2.66666666666667	4.16666666666667	0	0	0
1039092	0	0	0	1	0.75	0	1	0.75	0	0	0
1039594	2	0	0	4.33333333333333	0	3.66666666666667	4.33333333333333	1.33333333333333	0	0	0
1042479	14.25	0	4.75	6	342.25	0	0	0	13.5	26.25	35.5
104789	0	0	0	0.428571428571429	0	0.714285714285714	0.714285714285714	0.285714285714286	0	0	0
1048420	0	0.8	0	0	0	0	0	0	1.6	0.4	0
1059729	0	8.25	0	0	0	0	0	0	1.75	1	0
1059977	29.8333333333333	0	0	36.8333333333333	25.1666666666667	31.3333333333333	26.6666666666667	19.6666666666667	0	0	0
1060441	0	0	11.25	0	0	0	0	0	0.75	3	2
1061772	0	0.2	0	0	0	0	0	0	2.7	0.4	0.6
1065569	0	5.75	1.5	0	0	0.75	0	0	4.75	4.75	0.5
1065974	0.333333333333333	1.33333333333333	0.333333333333333	0	0.333333333333333	0	0	0	0.333333333333333	0	0
106749	2	0	0	1	0	0.5	1.5	0.75	0	0	0
1067519	0.625	0	0	1.75	0.875	0.875	0.5	0.75	0	0	0
1071929	0	2	0.5	0	0	0	0	0	3.75	1.5	2
