Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
AS1	0.408	0.000346	239.4	0.766	0.428	5.54	10.4	30000.0	236.0	0.274	0.234	2.34	3.37	1.02
AS2	0.139	0.000964	270.5	0.937	0.601	19.4	28.9	30000.0	269.0	0.211	0.0633	3.36	4.85	1.46
AS3	0.148	0.00119	276.4	0.940	0.637	22.0	35.8	30000.0	276.0	0.119	0.0599	3.58	5.16	1.55
G1	0.248	0.000369	115.2	0.864	0.508	8.48	11.1	30000.0	114.0	0.243	0.136	2.40	3.47	1.04
G2	0.327	0.000436	264.8	0.839	0.461	7.85	13.1	30000.0	263.0	0.223	0.161	2.57	3.71	1.12
G3	0.531	0.000252	236.1	0.680	0.371	4.02	7.56	30000.0	233.0	0.256	0.320	2.02	2.92	0.879
G4	0.193	0.000586	194.0	0.900	0.545	12.0	17.6	30000.0	193.0	0.227	0.100	2.87	4.14	1.25
G5	0.216	0.00065	171.6	0.902	0.578	12.7	19.5	30000.0	170.0	0.199	0.0985	2.97	4.29	1.29
N1	0.394	0.000369	241.1	0.776	0.439	5.85	11.1	30000.0	239.0	0.263	0.224	2.40	3.47	1.04
N10	0.0991	0.00196	332.1	0.965	0.702	37.6	58.8	30000.0	331.0	0.157	0.0353	4.07	5.88	1.77
N11	0.127	0.00121	290.9	0.941	0.634	22.3	36.3	30000.0	289.0	0.193	0.0589	3.59	5.18	1.56
N12	0.681	0.000134	153.5	0.520	0.278	2.54	4.03	30000.0	152.0	0.275	0.480	1.39	2.01	0.606
N13	0.235	0.000424	254.3	0.861	0.460	8.54	12.7	30000.0	253.0	0.295	0.139	2.54	3.67	1.10
N2	0.392	0.000353	233.9	0.774	0.434	5.73	10.6	30000.0	231.0	0.272	0.226	2.36	3.40	1.02
N3	0.241	0.000376	186.0	0.853	0.465	7.85	11.3	30000.0	184.0	0.238	0.147	2.42	3.50	1.05
N4	0.629	8.01e-005	58.8	0.508	0.220	2.15	2.40	30000.0	54.0	0.509	0.492	0.877	1.27	0.381
N5	0.393	0.000409	259.1	0.788	0.452	6.29	12.3	30000.0	257.0	0.233	0.212	2.51	3.62	1.09
N6	0.394	0.000386	262.2	0.780	0.441	6.01	11.6	30000.0	259.0	0.262	0.220	2.45	3.53	1.06
N7	0.097	0.00164	360.3	0.957	0.662	30.1	49.1	30000.0	359.0	0.136	0.0428	3.89	5.62	1.69
N8	0.682	0.000219	315.4	0.531	0.327	2.82	6.56	30000.0	314.0	0.222	0.469	1.88	2.71	0.817
N9	0.273	0.000653	289.7	0.872	0.525	10.6	19.6	30000.0	289.0	0.148	0.128	2.98	4.29	1.29
OC1	0.382	0.000482	382.5	0.793	0.450	6.61	14.5	30000.0	381.0	0.251	0.207	2.67	3.85	1.16
OC10	0.319	0.000381	226.3	0.822	0.450	6.98	11.4	30000.0	225.0	0.204	0.178	2.44	3.52	1.06
OC11	0.340	0.000328	105.5	0.823	0.504	6.84	9.84	30000.0	93.0	0.266	0.177	2.29	3.30	0.993
OC12	0.385	0.000231	117.0	0.770	0.410	5.03	6.94	30000.0	113.0	0.272	0.230	1.94	2.80	0.841
OC2	0.280	0.000679	292.2	0.876	0.531	11.1	20.4	30000.0	291.0	0.199	0.124	3.01	4.35	1.31
OC3	0.203	0.000558	140.6	0.897	0.571	11.7	16.7	30000.0	139.0	0.179	0.103	2.82	4.07	1.22
OC4	0.319	0.000361	134.2	0.831	0.488	7.23	10.8	30000.0	132.0	0.173	0.169	2.38	3.44	1.04
OC5	0.397	0.000481	317.8	0.800	0.464	6.94	14.4	30000.0	315.0	0.218	0.200	2.67	3.85	1.16
OC6	0.477	0.000367	296.8	0.747	0.422	5.42	11.0	30000.0	295.0	0.243	0.253	2.40	3.46	1.04
OC7	0.389	0.000252	89.9	0.777	0.450	5.34	7.55	30000.0	89.0	0.178	0.223	2.02	2.92	0.878
OC8	0.371	0.000247	117.3	0.752	0.422	4.87	7.42	30000.0	115.0	0.259	0.248	2.00	2.89	0.870
OC9	0.369	0.000596	267.1	0.836	0.517	8.82	17.9	30000.0	265.0	0.192	0.164	2.88	4.16	1.25
OP1	0.385	0.000454	358.8	0.790	0.444	6.43	13.6	30000.0	357.0	0.257	0.210	2.61	3.77	1.13
OP10	0.317	0.000873	303.2	0.877	0.572	12.4	26.2	30000.0	302.0	0.185	0.123	3.27	4.71	1.42
OP11	0.400	0.000175	178.0	0.679	0.321	3.56	5.26	30000.0	176.0	0.282	0.321	1.66	2.39	0.721
OP12	0.272	0.000352	103.6	0.845	0.511	7.61	10.6	30000.0	101.0	0.225	0.155	2.36	3.40	1.02
OP13	0.213	0.000433	118.6	0.870	0.541	9.13	13.0	30000.0	115.0	0.207	0.130	2.56	3.70	1.11
OP2	0.228	0.00103	319.6	0.919	0.596	17.4	30.9	30000.0	317.0	0.245	0.0808	3.43	4.95	1.49
OP3	0.229	0.00052	129.7	0.881	0.565	10.5	15.6	30000.0	129.0	0.138	0.119	2.75	3.96	1.19
OP4	0.149	0.000728	160.1	0.926	0.609	16.0	21.8	30000.0	158.0	0.182	0.0737	3.08	4.45	1.34
OP5	0.283	0.000581	293.6	0.859	0.503	9.32	17.4	30000.0	292.0	0.229	0.141	2.86	4.12	1.24
OP6	0.105	0.00213	384.6	0.966	0.699	39.8	63.8	30000.0	383.0	0.159	0.0336	4.15	5.99	1.80
OP7	0.392	0.000426	274.6	0.804	0.454	6.83	12.8	30000.0	273.0	0.219	0.196	2.55	3.68	1.11
OP8	0.302	0.000344	144.2	0.831	0.471	7.16	10.3	30000.0	143.0	0.285	0.169	2.34	3.37	1.01
OP9	0.157	0.000996	238.2	0.932	0.623	19.1	29.9	30000.0	234.0	0.247	0.068	3.40	4.90	1.48
SD1	0.395	0.000351	205.5	0.773	0.443	5.71	10.5	30000.0	203.0	0.250	0.227	2.35	3.39	1.02
SD2	0.401	0.000371	238.5	0.774	0.440	5.83	11.1	30000.0	237.0	0.223	0.226	2.41	3.47	1.05
SD3	0.406	0.000372	221.6	0.776	0.448	5.89	11.1	30000.0	218.0	0.269	0.224	2.41	3.48	1.05
SD4	0.403	0.000356	211.2	0.773	0.443	5.76	10.7	30000.0	210.0	0.204	0.227	2.37	3.42	1.03
SD5	0.380	0.000403	205.7	0.792	0.470	6.41	12.1	30000.0	201.0	0.243	0.208	2.49	3.59	1.08
SD6	0.398	0.000358	188.9	0.801	0.454	6.53	10.8	30000.0	187.0	0.271	0.199	2.38	3.43	1.03
SD7	0.208	0.00134	459.4	0.928	0.603	20.1	40.3	30000.0	458.0	0.159	0.0719	3.70	5.33	1.60
SD8	0.291	0.000478	156.6	0.871	0.529	9.72	14.3	30000.0	154.0	0.277	0.129	2.66	3.84	1.16
SD9	0.335	0.000432	167.8	0.835	0.502	7.86	13.0	30000.0	165.0	0.241	0.165	2.56	3.70	1.11
