bray_curtis	AS1	N1	N2	SD1	N6	SD4	SD5	N5	SD3	SD2	OC1	OP1	N3	OP5	AS2	N7	OP6	AS3	G2	OC6	OP7	OC5	N10	OC9	OP10	OC10	OP11	N11	G4	SD8	OP12	OC11	G5	OP13	SD9	OC12	OC3	OP3	OP4	OC4	OC7	OC8	OP8	OP9	G3	SD6	N12	N8	N9	SD7	N4	G1	OC2	OP2	N13
AS1	0	0.0294	0.0374	0.0334	0.039	0.0349	0.0592	0.0623	0.0441	0.046	0.073	0.0738	0.432	0.567	0.993	0.992	0.993	0.994	0.994	0.994	0.995	0.995	0.993	0.995	0.994	0.994	0.995	0.994	0.994	0.995	0.995	0.996	0.994	0.995	0.995	0.996	0.994	0.994	0.994	0.994	0.997	0.997	0.997	0.994	0.994	0.995	0.997	0.993	0.991	0.677	0.998	0.987	0.985	0.989	0.968
N1	0.0294	0	0.0291	0.0323	0.0366	0.0398	0.0572	0.0581	0.0519	0.0494	0.0726	0.0686	0.428	0.568	0.994	0.987	0.993	0.994	0.995	0.994	0.995	0.995	0.989	0.995	0.995	0.995	0.995	0.989	0.995	0.996	0.997	0.997	0.996	0.996	0.996	0.997	0.995	0.995	0.995	0.995	0.996	0.997	0.996	0.995	0.995	0.995	0.991	0.986	0.985	0.674	0.992	0.987	0.980	0.984	0.964
N2	0.0374	0.0291	0	0.0288	0.0365	0.0376	0.0561	0.0609	0.0552	0.054	0.0772	0.0739	0.432	0.571	0.997	0.994	0.996	0.997	0.998	0.997	0.999	0.998	0.996	0.998	0.997	0.997	0.997	0.996	0.998	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.998	0.998	0.998	0.998	0.998	0.999	0.998	0.998	0.999	0.998	0.997	0.994	0.993	0.676	0.997	0.988	0.988	0.992	0.971
SD1	0.0334	0.0323	0.0288	0	0.0391	0.0406	0.0499	0.0615	0.0551	0.0549	0.0793	0.0787	0.426	0.567	0.998	0.993	0.998	0.999	0.991	0.991	0.992	0.999	0.996	0.999	0.999	0.990	0.998	0.996	0.990	0.995	0.994	0.992	0.997	0.999	0.992	0.999	0.991	0.995	0.994	0.991	0.991	0.997	0.995	0.997	0.999	0.991	0.999	0.989	0.995	0.680	0.991	0.982	0.985	0.989	0.965
N6	0.039	0.0366	0.0365	0.0391	0	0.0276	0.042	0.0625	0.0556	0.0543	0.0761	0.0767	0.433	0.571	0.994	0.992	0.994	0.996	0.995	0.996	0.997	0.995	0.995	0.996	0.996	0.996	0.996	0.995	0.996	0.997	0.998	0.998	0.997	0.998	0.997	0.998	0.998	0.998	0.998	0.998	0.997	0.997	0.996	0.997	0.997	0.996	0.997	0.992	0.991	0.672	0.998	0.989	0.988	0.992	0.970
SD4	0.0349	0.0398	0.0376	0.0406	0.0276	0	0.0452	0.0651	0.0489	0.0504	0.0776	0.0793	0.434	0.572	0.998	0.996	0.998	0.998	0.998	0.998	0.999	0.999	0.998	0.999	0.999	0.998	0.998	0.998	0.998	0.999	1.000	1.000	0.999	0.999	0.999	1.000	1.000	1.000	0.999	1.000	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.996	0.995	0.675	0.999	0.990	0.990	0.994	0.972
SD5	0.0592	0.0572	0.0561	0.0499	0.042	0.0452	0	0.0787	0.0705	0.0759	0.0789	0.0871	0.431	0.570	0.998	0.994	0.998	0.999	0.996	0.996	0.997	0.999	0.996	0.999	0.999	0.995	0.998	0.996	0.996	0.997	0.997	0.997	0.997	1.000	0.997	0.999	0.997	0.997	0.997	0.997	0.996	0.997	0.996	0.997	0.999	0.996	0.999	0.994	0.994	0.670	0.997	0.987	0.988	0.992	0.969
N5	0.0623	0.0581	0.0609	0.0615	0.0625	0.0651	0.0787	0	0.0424	0.0682	0.0782	0.0818	0.416	0.537	0.983	0.983	0.987	0.975	0.977	0.975	0.982	0.992	0.973	0.992	0.987	0.982	0.994	0.981	0.967	0.974	0.974	0.971	0.975	0.978	0.969	0.978	0.961	0.970	0.964	0.960	0.985	0.990	0.988	0.985	0.991	0.980	0.995	0.980	0.983	0.672	0.982	0.969	0.954	0.958	0.945
SD3	0.0441	0.0519	0.0552	0.0551	0.0556	0.0489	0.0705	0.0424	0	0.0612	0.0808	0.0831	0.426	0.552	0.985	0.982	0.986	0.986	0.982	0.982	0.985	0.990	0.983	0.990	0.987	0.990	0.990	0.983	0.982	0.983	0.983	0.984	0.984	0.986	0.983	0.986	0.980	0.982	0.980	0.981	0.986	0.988	0.986	0.985	0.989	0.985	0.990	0.984	0.981	0.675	0.991	0.979	0.972	0.977	0.956
SD2	0.046	0.0494	0.054	0.0549	0.0543	0.0504	0.0759	0.0682	0.0612	0	0.0802	0.0754	0.431	0.548	0.991	0.989	0.992	0.994	0.995	0.994	0.995	0.996	0.994	0.995	0.995	0.997	0.996	0.995	0.994	0.996	0.998	0.998	0.991	0.996	0.996	0.996	0.968	0.966	0.967	0.967	0.997	0.995	0.990	0.983	0.996	0.995	0.997	0.991	0.990	0.681	0.998	0.988	0.960	0.964	0.970
