bray_curtis	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9
AS1	0	0.993	0.994	0.987	0.994	0.994	0.994	0.994	0.0294	0.993	0.994	0.997	0.968	0.0374	0.432	0.998	0.0623	0.039	0.992	0.993	0.991	0.073	0.994	0.996	0.996	0.985	0.994	0.994	0.995	0.994	0.997	0.997	0.995	0.0738	0.994	0.995	0.995	0.995	0.989	0.994	0.994	0.567	0.993	0.995	0.997	0.994	0.0334	0.046	0.0441	0.0349	0.0592	0.995	0.677	0.995	0.995
AS2	0.993	0	0.667	0.989	0.782	0.758	0.679	0.772	0.994	0.708	0.763	0.969	0.960	0.997	0.997	0.998	0.983	0.994	0.269	0.766	0.680	0.959	0.817	0.746	0.772	0.894	0.806	0.824	0.634	0.720	0.663	0.694	0.683	0.957	0.713	0.824	0.628	0.748	0.877	0.856	0.850	0.840	0.356	0.699	0.673	0.679	0.998	0.991	0.985	0.998	0.998	0.751	0.920	0.647	0.796
AS3	0.994	0.667	0	0.991	0.740	0.647	0.573	0.693	0.994	0.424	0.558	0.934	0.903	0.997	0.997	0.997	0.975	0.996	0.714	0.889	0.702	0.961	0.761	0.714	0.703	0.910	0.797	0.818	0.636	0.679	0.693	0.786	0.485	0.958	0.454	0.782	0.637	0.722	0.887	0.861	0.835	0.801	0.635	0.667	0.653	0.714	0.999	0.994	0.986	0.998	0.999	0.803	0.900	0.552	0.709
G1	0.987	0.989	0.991	0	0.897	0.993	0.966	0.992	0.987	0.987	0.988	0.995	0.962	0.988	0.749	0.701	0.969	0.989	0.985	0.976	0.986	0.984	0.805	0.890	0.994	0.948	0.872	0.852	0.992	0.981	0.986	0.993	0.992	0.985	0.992	0.995	0.989	0.995	0.972	0.987	0.972	0.974	0.989	0.985	0.991	0.990	0.982	0.988	0.979	0.990	0.987	0.803	0.975	0.990	0.953
G2	0.994	0.782	0.740	0.897	0	0.813	0.769	0.888	0.995	0.785	0.860	0.972	0.945	0.998	0.903	0.904	0.977	0.995	0.708	0.871	0.695	0.964	0.513	0.755	0.924	0.907	0.867	0.898	0.559	0.335	0.723	0.855	0.582	0.962	0.579	0.619	0.786	0.889	0.911	0.900	0.892	0.919	0.754	0.304	0.645	0.765	0.991	0.995	0.982	0.998	0.996	0.780	0.915	0.828	0.871
G3	0.994	0.758	0.647	0.993	0.813	0	0.703	0.869	0.995	0.715	0.739	0.969	0.975	0.999	0.998	0.999	0.991	0.997	0.789	0.912	0.805	0.970	0.841	0.552	0.751	0.952	0.856	0.655	0.667	0.749	0.680	0.557	0.668	0.968	0.657	0.868	0.673	0.885	0.946	0.906	0.894	0.683	0.727	0.705	0.776	0.806	0.999	0.996	0.989	0.999	0.999	0.885	0.905	0.746	0.892
G4	0.994	0.679	0.573	0.966	0.769	0.703	0	0.461	0.995	0.675	0.767	0.968	0.874	0.998	0.971	0.973	0.967	0.996	0.754	0.885	0.741	0.973	0.761	0.347	0.492	0.911	0.753	0.697	0.664	0.720	0.606	0.696	0.636	0.974	0.672	0.800	0.361	0.425	0.895	0.875	0.820	0.679	0.714	0.665	0.649	0.740	0.990	0.994	0.982	0.998	0.996	0.724	0.921	0.216	0.414
G5	0.994	0.772	0.693	0.992	0.888	0.869	0.461	0	0.996	0.717	0.800	0.967	0.898	0.999	0.995	0.996	0.975	0.997	0.781	0.881	0.843	0.975	0.910	0.619	0.419	0.922	0.820	0.825	0.865	0.856	0.818	0.820	0.788	0.976	0.788	0.917	0.614	0.256	0.912	0.882	0.785	0.783	0.786	0.845	0.778	0.772	0.997	0.991	0.984	0.999	0.997	0.733	0.929	0.461	0.370
N1	0.0294	0.994	0.994	0.987	0.995	0.995	0.995	0.996	0	0.989	0.989	0.991	0.964	0.0291	0.428	0.992	0.0581	0.0366	0.987	0.986	0.985	0.0726	0.995	0.997	0.997	0.980	0.995	0.995	0.995	0.994	0.996	0.997	0.995	0.0686	0.995	0.995	0.997	0.996	0.984	0.995	0.995	0.568	0.993	0.995	0.996	0.995	0.0323	0.0494	0.0519	0.0398	0.0572	0.995	0.674	0.996	0.996
N10	0.993	0.708	0.424	0.987	0.785	0.715	0.675	0.717	0.989	0	0.507	0.860	0.854	0.996	0.989	0.989	0.973	0.995	0.710	0.877	0.758	0.956	0.808	0.806	0.787	0.899	0.857	0.883	0.714	0.761	0.803	0.849	0.479	0.951	0.372	0.833	0.771	0.754	0.876	0.856	0.841	0.876	0.638	0.765	0.784	0.748	0.996	0.994	0.983	0.998	0.996	0.847	0.893	0.674	0.754
N11	0.994	0.763	0.558	0.988	0.860	0.739	0.767	0.800	0.989	0.507	0	0.662	0.770	0.996	0.869	0.934	0.981	0.995	0.719	0.765	0.698	0.964	0.881	0.833	0.832	0.892	0.856	0.878	0.790	0.810	0.832	0.824	0.638	0.960	0.609	0.901	0.815	0.831	0.905	0.895	0.874	0.869	0.714	0.814	0.826	0.787	0.996	0.995	0.983	0.998	0.996	0.846	0.901	0.767	0.817
N12	0.997	0.969	0.934	0.995	0.972	0.969	0.968	0.967	0.991	0.860	0.662	0	0.823	0.997	0.814	0.938	0.995	0.997	0.945	0.288	0.692	0.986	0.976	0.971	0.970	0.941	0.977	0.978	0.969	0.972	0.977	0.976	0.960	0.985	0.960	0.971	0.971	0.970	0.962	0.977	0.975	0.978	0.966	0.972	0.975	0.972	0.999	0.997	0.990	0.999	0.999	0.973	0.981	0.967	0.966
N13	0.968	0.960	0.903	0.962	0.945	0.975	0.874	0.898	0.964	0.854	0.770	0.823	0	0.971	0.903	0.929	0.945	0.970	0.939	0.917	0.924	0.957	0.947	0.875	0.904	0.920	0.937	0.938	0.974	0.960	0.930	0.957	0.925	0.956	0.919	0.969	0.931	0.904	0.942	0.963	0.961	0.915	0.954	0.952	0.927	0.961	0.965	0.970	0.956	0.972	0.969	0.895	0.945	0.898	0.869
N2	0.0374	0.997	0.997	0.988	0.998	0.999	0.998	0.999	0.0291	0.996	0.996	0.997	0.971	0	0.432	0.997	0.0609	0.0365	0.994	0.994	0.993	0.0772	0.997	0.999	0.999	0.988	0.998	0.998	0.998	0.997	0.998	0.999	0.998	0.0739	0.997	0.997	0.999	0.999	0.992	0.998	0.998	0.571	0.996	0.999	0.998	0.998	0.0288	0.054	0.0552	0.0376	0.0561	0.998	0.676	0.999	0.999
N3	0.432	0.997	0.997	0.749	0.903	0.998	0.971	0.995	0.428	0.989	0.869	0.814	0.903	0.432	0	0.698	0.416	0.433	0.969	0.795	0.808	0.430	0.851	0.894	0.997	0.902	0.876	0.871	0.998	0.986	0.989	0.995	0.998	0.430	0.998	0.997	0.993	0.997	0.954	0.989	0.975	0.566	0.997	0.990	0.993	0.994	0.426	0.431	0.426	0.434	0.431	0.851	0.758	0.993	0.957
N4	0.998	0.998	0.997	0.701	0.904	0.999	0.973	0.996	0.992	0.989	0.934	0.938	0.929	0.997	0.698	0	0.982	0.998	0.969	0.922	0.931	0.995	0.769	0.895	0.998	0.915	0.877	0.765	0.998	0.987	0.990	0.996	0.998	0.994	0.998	0.999	0.993	0.998	0.961	0.991	0.977	0.989	0.997	0.991	0.995	0.996	0.991	0.998	0.991	0.999	0.997	0.693	0.989	0.994	0.958
N5	0.0623	0.983	0.975	0.969	0.977	0.991	0.967	0.975	0.0581	0.973	0.981	0.995	0.945	0.0609	0.416	0.982	0	0.0625	0.983	0.980	0.983	0.0782	0.982	0.971	0.978	0.954	0.961	0.960	0.992	0.975	0.985	0.990	0.992	0.0818	0.987	0.994	0.974	0.978	0.958	0.970	0.964	0.537	0.987	0.982	0.988	0.985	0.0615	0.0682	0.0424	0.0651	0.0787	0.980	0.672	0.974	0.969
N6	0.039	0.994	0.996	0.989	0.995	0.997	0.996	0.997	0.0366	0.995	0.995	0.997	0.970	0.0365	0.433	0.998	0.0625	0	0.992	0.992	0.991	0.0761	0.996	0.998	0.998	0.988	0.998	0.998	0.995	0.996	0.997	0.997	0.996	0.0767	0.996	0.996	0.998	0.998	0.992	0.998	0.998	0.571	0.994	0.997	0.996	0.997	0.0391	0.0543	0.0556	0.0276	0.042	0.996	0.672	0.997	0.997
N7	0.992	0.269	0.714	0.985	0.708	0.789	0.754	0.781	0.987	0.710	0.719	0.945	0.939	0.994	0.969	0.969	0.983	0.992	0	0.702	0.664	0.953	0.843	0.811	0.811	0.859	0.847	0.873	0.685	0.709	0.730	0.736	0.724	0.949	0.719	0.871	0.715	0.759	0.846	0.882	0.874	0.861	0.373	0.701	0.732	0.675	0.993	0.989	0.982	0.996	0.994	0.752	0.897	0.730	0.803
N8	0.993	0.766	0.889	0.976	0.871	0.912	0.885	0.881	0.986	0.877	0.765	0.288	0.917	0.994	0.795	0.922	0.980	0.992	0.702	0	0.513	0.968	0.932	0.908	0.905	0.873	0.917	0.926	0.882	0.872	0.887	0.892	0.900	0.964	0.894	0.954	0.894	0.893	0.893	0.946	0.927	0.934	0.748	0.877	0.864	0.865	0.989	0.991	0.984	0.996	0.994	0.854	0.942	0.884	0.875
N9	0.991	0.680	0.702	0.986	0.695	0.805	0.741	0.843	0.985	0.758	0.698	0.692	0.924	0.993	0.808	0.931	0.983	0.991	0.664	0.513	0	0.963	0.730	0.801	0.887	0.816	0.889	0.906	0.629	0.672	0.713	0.818	0.675	0.958	0.680	0.725	0.735	0.860	0.823	0.895	0.890	0.912	0.667	0.672	0.658	0.765	0.995	0.990	0.981	0.995	0.994	0.835	0.909	0.764	0.866
