Class	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Bacilli	89.9	9.74	10.4	10.7	19.3	2.25	6.87	2.21	90	12	24.6	78.7	7.17	90.2	72	6.18	87.3	88.8	17.2	71.5	31	85.1	18.1	1.05	0.8	53	0.663	0.1	2.85	8.45	5.65	3.51	5.62	85.6	4.49	40.8	1.61	1.72	36.6	0.373	0.363	40.8	10.8	6.7	10.9	7.37	89.6	88.1	89.2	89.5	88.2	6.71	36.1	8.04	5.05	15.9
Bacteroidia	0.147	27.5	19.9	0.79	28.1	8.37	13.7	42.5	0.0767	29.2	9.25	0.82	1.54	0.0833	0.167	0.0833	0.487	0.28	25.2	7.38	5.83	1.89	2.31	2.28	24.5	12.5	38.5	20.6	3.45	25.7	39.2	34.5	13.9	1.76	21.4	1.4	13.1	29.2	13.6	46.4	37.3	6.08	19	30.9	37.5	49.6	0.04	3.04	0.0433	0.01	0.00333	22.9	2.97	16.8	19.6	14.6
Clostridia	0.06	2.16	3.75	0.0533	1.37	2.3	0.59	2.04	0.0767	7.84	21.3	1.16	0.543	0.0733	0.0367	0.01	0.167	0.12	3.19	0.783	0.623	0.223	0.67	0.0667	0.71	0.727	4.97	1.19	4.26	1.45	0.693	3.06	2.68	0.213	4.01	0.27	0.07	1.01	4.65	7.31	12.7	1.99	7.82	1.01	2.23	8.48	0.05	0.27	0.0733	0.0467	0.05	2.4	0.927	0.593	1.6	11.0
Gammaproteobacteria	6.86	19.3	19.9	84.2	43.5	10.1	43.6	19.4	6.72	13.6	6.01	2.98	65.7	6.83	26.4	93.4	8.95	7.58	13.9	6.93	27.8	7.37	56.3	41.5	11.3	14.7	26.8	35.9	40.5	50.1	26.7	16.7	37.6	7.17	32.6	40.5	45.7	28.3	8.21	15.2	14.5	14	12.9	40.3	32.6	17.4	7.18	5.96	7.05	7.3	8.38	45.8	43.4	45.8	27.4	10.6
Alphaproteobacteria	0.08	0.2	0.24	2.44	0.04	0.11	0.0133	0.00667	0.0667	0.263	0.343	0.0367	0.173	0.06	0.0133	0.01	0.05	0.0867	1.85	0.66	1.3	0.0533	0.00667	0	0	1.69	0	0.00333	0.0467	0.0333	0	0	0.0167	0.0933	0.0233	0	0	0	0.57	0.00333	0.00667	0.00667	0.157	0.00333	0	0.00333	0.07	0.05	0.06	0.0867	0.05	0.227	3.36	0.0133	0.03	7.1
Flavobacteriia	0.503	6.17	3.09	0.00333	1.18	0.9	5.58	1.44	0.423	1.99	0.997	0.09	0.387	0.387	0.213	0	0.403	0.54	4.39	0.677	5.54	1.48	15.9	9.91	1.23	3.72	1.7	2.51	5.49	1.48	2.44	1.69	2.77	1.37	2.11	14.6	15	2.45	13.5	1.11	0.477	0.177	5.08	1.52	0.897	0.6	0.487	0.34	0.387	0.47	0.55	0.38	4.77	6.93	2.3	6.7
Fusobacteriia	0.0433	10.2	21.5	0.187	0.237	3.48	0.0433	0.883	0.0633	15.1	7.32	0.213	3.42	0.0233	0.02	0.0533	0.177	0.05	9.24	2.14	3.64	0.98	0.56	0.00667	0.223	1.4	13.8	4.13	18.8	0.293	0.01	0.0233	17.1	1.08	16.9	0.363	0.01	1.49	3.69	21.1	19.8	3.96	14.1	0.393	0.04	0.95	0.01	0.297	0.00667	0.00667	0.00333	0.03	1.03	0.0667	1.21	6.2
Betaproteobacteria	0.177	11.8	11.7	1.31	4.15	53.4	25.7	19.3	0.317	5.94	9.06	2.49	6.17	0.147	0.0633	0.103	0.383	0.193	9.25	4.79	7.37	0.353	4.08	44.1	60.2	7.19	10.7	32.4	18.8	10.1	25.2	40.3	11.8	0.293	9.05	1.31	22.4	25.9	10.3	2.37	3.94	31.7	11.8	16.4	15.5	7.73	0.117	0.107	1.01	0.127	0.08	20.4	4.64	19.3	39.3	6.0
Actinobacteria	2.13	0.0833	2.25	0.00667	0.03	0.0633	0.413	1.29	2.17	3.38	13.4	13	14.2	2.07	0.953	0.107	1.98	2.21	0.447	0.713	13.7	1.77	0.06	0.00667	0.06	0.12	0.00667	0	1.11	0.0467	0	0	2.34	1.68	1.34	0.0533	0.0167	0.0767	0.0967	0.01	0.01	0.673	2.88	0.05	0.00333	0	2.39	1.7	2.09	2.34	2.53	0.0233	0.247	0.113	0.183	4.1
Negativicutes	0.00333	11.8	2.42	0.00333	0.687	0.347	2.01	8.81	0.00667	4.65	4.45	0.257	0.457	0	0.00667	0.00667	0.0133	0.01	11.3	2.92	0.937	0.187	0.51	0.18	0.723	1.04	1.12	0.47	1.61	0.497	0.0267	0.09	2.95	0.24	2.78	0.18	0.64	8.87	2.03	5.44	9.89	0.127	10.8	0.613	0.287	6.09	0.00333	0.07	0	0	0	0.31	0.12	0.75	1.35	4.1
