Family	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Prevotellaceae	0.147	26.5	18.2	0.747	27.5	6.68	13.5	42.4	0.0533	23.6	8	0.767	1.46	0.08	0.167	0.08	0.45	0.227	23.4	6.98	5.55	1.48	1.83	2.27	24.3	12	38.2	20	2.78	25.1	39.2	34.4	12.4	1.22	16.6	1.28	13.1	29.2	12.5	45.4	36.4	5.71	16	30	37.5	48.8	0.03	3	0.04	0.01	0.00333	22.8	1.28	16.7	19.5	11.0
Flavobacteriaceae	0.503	6.17	3.09	0.00333	1.18	0.9	5.58	1.44	0.423	1.99	0.997	0.09	0.387	0.387	0.213	0	0.403	0.54	4.39	0.677	5.54	1.48	15.9	9.91	1.23	3.72	1.7	2.51	5.49	1.48	2.44	1.69	2.77	1.37	2.11	14.6	15	2.45	13.5	1.11	0.477	0.177	5.08	1.52	0.897	0.6	0.487	0.34	0.387	0.47	0.55	0.38	4.77	6.93	2.3	6.7
Lachnospiraceae	0.00667	0.963	1.41	0.0167	0.17	0.183	0.35	1.6	0.00333	2.02	1.04	0.07	0.403	0.00333	0.00333	0.00333	0.01	0.0133	1.22	0.25	0.237	0.0533	0.0833	0.05	0.473	0.22	0.657	0.143	3.16	0.15	0.62	2.75	1.59	0.0433	1.45	0.137	0.06	0.843	3.69	2.56	1.7	0.153	5.06	0.12	2.14	6.32	0	0.213	0	0	0	1.32	0.143	0.45	0.747	4.5
Unassigned	2.81	0.477	0.0633	0.283	0.137	0.0467	0.61	0.17	3.05	0.08	0.07	0.02	0.03	2.91	1.55	0.00333	2.85	3.04	0.363	0.0867	0.113	2.83	0.283	0.697	0.0733	1.11	0.86	2.33	0.0567	0.0633	0.0867	0.0667	0.0633	2.44	0.19	0.167	0.883	0.323	0.937	0.06	0.373	1.46	0.37	0.0667	0.0233	0.243	2.9	2.52	2.8	3.12	3.8	0.173	0.207	0.48	0.29	4.3
Veillonellaceae	0.00333	11.8	2.42	0.00333	0.687	0.347	2.01	8.81	0.00667	4.65	4.45	0.257	0.457	0	0.00667	0.00667	0.0133	0.01	11.3	2.92	0.937	0.187	0.51	0.18	0.723	1.04	1.12	0.47	1.61	0.497	0.0267	0.09	2.95	0.24	2.78	0.18	0.64	8.87	2.03	5.44	9.89	0.127	10.8	0.613	0.287	6.09	0.00333	0.07	0	0	0	0.31	0.12	0.75	1.35	4.1
Bacillaceae	52.4	0.0533	0.02	2.06	0.00333	0	0.0367	0	51	0.0167	0.0367	0.00667	0.137	51	30.3	0.01	52.1	51.6	0.243	0.0633	0.13	49.4	0	0	0	0.15	0	0	0	0.0167	0.0633	0.00333	0.00333	49.6	0	0.00333	0	0.00333	0.05	0	0.02	23.9	0.02	0	0.0367	0	51.4	51.7	54	51.7	50.2	0.0133	3.1	0	0	4.1
Spirochaetaceae	0	0.223	1.14	0	0.797	1.08	0.0567	0	0	2.28	0.713	0.04	0	0	0	0	0	0.01	2.37	0.717	0.343	0.213	0.49	0.00667	0	0.317	0	0	1.99	1.16	0	0.00333	1.16	0.167	2.89	0.167	0	0	0.95	0	0	0.0533	2.88	1.47	0.0667	0.147	0	0	0	0.00333	0	0.07	0.693	0.01	0.00333	3.9
Moraxellaceae	2.08	0.03	0.0167	30.7	0.00667	0.00667	0.143	0.107	2.04	0.00333	0.0433	0	0.253	2.09	10.1	62.8	2.51	2.6	0.09	0.68	3.7	1.8	0.00333	0	0	4.06	7.41	20.3	0.00333	0.01	0	0	0	1.52	0.00667	0	0	0	1.38	0.203	1.41	0.933	0.0333	0.00333	0	0	1.98	1.66	2.21	2.48	2.83	0.00667	9.25	0	0.0333	3.0
Leptotrichiaceae	0	6.44	1.55	0.01	0.0567	0.313	0.04	0.853	0.02	6.7	2.32	0.0233	3.36	0.00333	0.0133	0.00333	0.00333	0.0233	6.86	1.52	1.56	0.28	0.143	0	0.213	0.523	0.9	0.323	6.98	0.107	0.00333	0.00333	11.3	0.343	9.96	0.227	0.00333	1.49	1.23	1.53	0.243	0.00333	7.16	0.08	0.01	0.01	0.01	0.22	0	0.00667	0	0	0.19	0.0567	1.2	3.0
Fusobacteriaceae	0.0433	3.76	20	0.177	0.18	3.17	0.00333	0.03	0.0433	8.38	5.01	0.19	0.0567	0.02	0.00667	0.05	0.173	0.0233	2.38	0.62	2.09	0.683	0.417	0.00667	0.01	0.87	12.9	3.81	11.9	0.187	0.00667	0.02	5.84	0.727	6.9	0.137	0.00667	0	2.41	19.6	19.6	3.95	6.93	0.313	0.03	0.94	0	0.0767	0.00667	0	0.00333	0.03	0.843	0.01	0.0133	2.9
