Genus	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Unassigned	3.68	0.877	0.373	1.18	1.87	0.32	2.24	0.893	3.86	1.24	1.02	1.26	1.5	3.84	1.99	0.0233	3.76	4.09	1.09	0.303	0.56	3.89	5.18	2.04	0.227	29.3	1.43	3.21	0.71	0.823	0.75	0.607	0.89	3.47	0.707	1.16	1.67	1.02	24.4	0.23	0.857	2.07	1.09	0.717	0.55	0.907	3.81	3.3	3.77	4	4.81	0.523	2.01	1.21	1.07	12.9
Prevotella_7	0.127	0.15	9.72	0.13	10.2	0.313	10	27.1	0.04	10.5	3.99	0.54	1.01	0.0733	0.163	0.0767	0.29	0.00667	1.48	0.523	0.61	0.55	1.17	1.19	16.9	10.3	37.9	19.3	0.85	5.62	0.147	1.74	6.7	0.443	7.23	0.91	2.08	16.4	11.6	44.2	28.6	3.07	2.5	8.3	5.15	20.7	0.0267	2.74	0.01	0	0.00333	3.83	0.43	9.76	9.77	4.3
Treponema_2	0	0.223	1.14	0	0.797	1.08	0.0567	0	0	2.28	0.713	0.04	0	0	0	0	0	0.01	2.37	0.717	0.343	0.213	0.49	0.00667	0	0.317	0	0	1.99	1.16	0	0.00333	1.16	0.167	2.89	0.167	0	0	0.947	0	0	0.0533	2.88	1.47	0.0667	0.147	0	0	0	0.00333	0	0.07	0.693	0.01	0.00333	3.8
Bacillus	48.9	0.05	0.02	2.06	0.00333	0	0.00333	0	47.6	0.0167	0.0367	0.00667	0.123	46.8	28.4	0.01	48.2	47.5	0.24	0.0633	0.127	45.9	0	0	0	0.15	0	0	0	0.0133	0.0567	0.00333	0.00333	46.1	0	0.00333	0	0.00333	0.0433	0	0.02	22.6	0.02	0	0.0367	0	47.8	48.5	49.9	47.9	46.6	0.0133	2.81	0	0	3.3
Fusobacterium	0.0433	3.76	20	0.177	0.18	3.17	0.00333	0.03	0.0433	8.38	5.01	0.19	0.0567	0.02	0.00667	0.05	0.173	0.0233	2.38	0.62	2.09	0.683	0.417	0.00667	0.01	0.87	12.9	3.81	11.9	0.187	0.00667	0.02	5.84	0.727	6.9	0.137	0.00667	0	2.41	19.6	19.6	3.95	6.93	0.313	0.03	0.94	0	0.0767	0.00667	0	0.00333	0.03	0.843	0.01	0.0133	2.9
Leptotrichia	0	5.84	1.18	0.00333	0.0467	0.303	0.00667	0	0.0167	6.61	2.04	0.02	3.33	0.00333	0	0	0.00333	0.0233	5.64	1.33	1.35	0.28	0.143	0	0	0.207	0	0.00333	6.93	0.0933	0.00333	0.00333	11.3	0.343	9.96	0.227	0	0	0.85	0	0	0	6.7	0.0767	0.00667	0.01	0	0	0	0.00333	0	0	0.187	0.00667	0	2.6
Prevotella	0	1.62	6.03	0.0767	15.3	5.89	0.667	3.96	0.00667	7.06	3.16	0.153	0.08	0.00333	0.00333	0.00333	0.0433	0.00667	3.08	0.673	1.91	0.287	0.447	0	0.603	1.41	0.13	0.267	0.45	16.2	38.9	31.9	3.79	0.167	5.69	0.223	0.0433	1.46	0.397	0.787	7.2	1.67	2.6	17.9	30	17.7	0	0.0833	0.00667	0	0	13	0.517	0.66	2.36	2.4
Capnocytophaga	0.0467	5.97	2.74	0	0.797	0.803	5.47	1.41	0.0167	1.63	0.86	0.0867	0.227	0	0.00667	0	0.00333	0.03	4.11	0.643	5.43	1.13	15.5	9.74	1.16	3.62	1.67	2.48	5.35	1.36	2.34	1.61	2.61	1.05	2.03	14.2	14.4	2.31	13.2	1	0.453	0.107	4.92	1.41	0.763	0.5	0	0.00333	0	0.01	0	0.357	1.38	6.71	2.23	2.1
Streptococcus	0.363	3.94	6.97	7.14	0.67	1.44	1.76	0.727	0.293	4.89	4	0.207	0.373	0.33	0.203	0.00333	0.31	0.28	4.28	0.933	1.05	0.31	1.17	0.307	0.15	0.11	0.0133	0.0133	0.41	0.73	1.48	0.927	3.16	0.293	3.17	0.263	0.213	0.11	0.193	0.0267	0.0267	0.243	7.22	0.42	7.29	4.21	0.347	0.29	0.347	0.32	0.283	3.92	1.36	3.96	1	1.8
Chryseobacterium	0.03	0	0	0	0	0	0.00667	0	0.0167	0	0	0	0.04	0.0467	0.0133	0	0.0567	0.0267	0	0	0	0.0567	0	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0.0233	0	0	0.00333	0	0	0	0	0.0433	0.0167	0.0367	0.0433	0.0533	0	0.937	0	0	1.7
Acinetobacter	0.0867	0.03	0.0167	30.7	0.00667	0.00667	0.12	0.107	0.187	0.00333	0.03	0	0.16	0.1	9.35	62.8	0.683	0.15	0.09	0.673	3.59	0.117	0.00333	0	0	4.05	7.41	20.3	0.00333	0.01	0	0	0	0.11	0.00667	0	0	0	1.38	0.203	1.4	0.473	0.03	0.00333	0	0	0.0833	0.103	0.58	0.14	0.153	0.00667	4.54	0	0.0333	1.5
