Order	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Bacteroidales	0.147	27.5	19.9	0.79	28.1	8.37	13.7	42.5	0.0767	29.2	9.25	0.82	1.54	0.0833	0.167	0.0833	0.487	0.28	25.2	7.38	5.83	1.89	2.31	2.28	24.5	12.5	38.5	20.6	3.45	25.7	39.2	34.5	13.9	1.76	21.4	1.4	13.1	29.2	13.6	46.4	37.3	6.08	19	30.9	37.5	49.6	0.04	3.04	0.0433	0.01	0.00333	22.9	2.97	16.8	19.6	14.6
Clostridiales	0.06	2.16	3.75	0.0533	1.37	2.3	0.59	2.04	0.0767	7.84	21.3	1.16	0.543	0.0733	0.0367	0.01	0.167	0.12	3.19	0.783	0.623	0.223	0.67	0.0667	0.71	0.727	4.97	1.19	4.26	1.45	0.693	3.06	2.68	0.213	4.01	0.27	0.07	1.01	4.65	7.31	12.7	1.99	7.82	1.01	2.23	8.48	0.05	0.27	0.0733	0.0467	0.05	2.4	0.927	0.593	1.6	11.0
Bacillales	56.1	0.893	2.31	2.24	0.117	0.7	1.39	0.827	55.5	1.51	14.6	68.4	4.58	54.9	51	6.18	55.8	55.5	3.25	68.8	27.8	52.9	0.11	0.123	0.563	5.75	0.253	0.07	0.0467	0.0967	0.47	1.13	1.66	53.2	0.81	0.34	0.733	0.837	2.46	0.293	0.3	25.7	0.34	0.05	0.62	2.16	55	55.1	57.6	55.7	54.7	1.86	8.2	3.1	3.79	8.4
Lactobacillales	33.6	8.84	8.05	8.4	19.1	1.55	5.48	1.39	34.3	10.5	9.99	10.3	2.59	35.1	20.9	0.00667	31.3	33	13.9	2.67	3.18	31.9	18	0.923	0.237	47.3	0.41	0.03	2.8	8.35	5.18	2.39	3.96	32.2	3.68	40.5	0.88	0.883	34.2	0.08	0.0633	15	10.4	6.65	10.2	5.21	34.3	32.8	31.3	33.6	33.1	4.84	27.9	4.93	1.26	6.9
Flavobacteriales	0.503	6.17	3.09	0.00333	1.18	0.9	5.58	1.44	0.423	1.99	0.997	0.09	0.387	0.387	0.213	0	0.403	0.54	4.39	0.677	5.54	1.48	15.9	9.91	1.23	3.72	1.7	2.51	5.49	1.48	2.44	1.69	2.77	1.37	2.11	14.6	15	2.45	13.5	1.11	0.477	0.177	5.08	1.52	0.897	0.6	0.487	0.34	0.387	0.47	0.55	0.38	4.77	6.93	2.3	6.7
Fusobacteriales	0.0433	10.2	21.5	0.187	0.237	3.48	0.0433	0.883	0.0633	15.1	7.32	0.213	3.42	0.0233	0.02	0.0533	0.177	0.05	9.24	2.14	3.64	0.98	0.56	0.00667	0.223	1.4	13.8	4.13	18.8	0.293	0.01	0.0233	17.1	1.08	16.9	0.363	0.01	1.49	3.69	21.1	19.8	3.96	14.1	0.393	0.04	0.95	0.01	0.297	0.00667	0.00667	0.00333	0.03	1.03	0.0667	1.21	6.2
Pseudomonadales	6.43	0.0333	0.0167	30.8	0.01	0.00667	0.147	0.107	6.35	0.00667	0.0533	0	0.95	6.68	11.7	62.8	6.29	7.32	0.123	0.783	3.95	5.75	0.00667	0	0	4.19	7.41	20.3	0.00667	0.0133	0.00333	0	0	5.35	0.00667	0	0	0	1.44	0.203	1.41	2.04	0.0333	0.00333	0.00333	0	6.32	5.78	6.12	7.12	7.93	0.0133	27.9	0	0.0333	4.7
Selenomonadales	0.00333	11.8	2.42	0.00333	0.687	0.347	2.01	8.81	0.00667	4.65	4.45	0.257	0.457	0	0.00667	0.00667	0.0133	0.01	11.3	2.92	0.937	0.187	0.51	0.18	0.723	1.04	1.12	0.47	1.61	0.497	0.0267	0.09	2.95	0.24	2.78	0.18	0.64	8.87	2.03	5.44	9.89	0.127	10.8	0.613	0.287	6.09	0.00333	0.07	0	0	0	0.31	0.12	0.75	1.35	4.1
Spirochaetales	0	0.223	1.14	0	0.797	1.08	0.0567	0	0	2.28	0.713	0.04	0.00333	0	0	0	0	0.01	2.37	0.717	0.343	0.213	0.49	0.00667	0	0.317	0	0	1.99	1.16	0	0.00333	1.16	0.167	2.89	0.167	0	0	0.95	0	0	0.0533	2.88	1.47	0.0667	0.147	0	0	0	0.00333	0	0.07	0.72	0.01	0.00333	4.0
Burkholderiales	0.107	0.197	0.0933	0.833	0.0167	0.1	0.0133	0.00333	0.17	0.183	0.0933	0.0167	0.09	0.137	0.0267	0.0667	0.09	0.15	0.88	0.993	1.58	0.18	0.323	0.00667	0.0133	5.62	0	0	0.0533	0.02	0	0	0.0633	0.167	0.09	0.01	0	0	2.55	0	0.00667	0.02	0.333	0.01	0.00333	0	0.11	0.0767	0.0733	0.113	0.07	0.02	2.23	0.0133	0.00333	3.5
