Phylum	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Firmicutes	90	23.8	16.8	10.7	21.3	5.03	9.83	13.5	90.1	25.4	50.8	80.1	8.21	90.3	72.1	6.2	87.5	89	31.8	75.2	32.6	85.6	19.3	1.4	2.29	54.8	6.83	1.76	8.92	10.4	6.37	6.72	11.7	86.1	11.5	41.3	2.76	11.7	43.4	13.1	23	43	29.6	8.34	13.4	23.2	89.6	88.4	89.3	89.6	88.3	9.87	37.2	9.86	8.26	31.8
Proteobacteria	7.12	31.4	35	88.1	48	80.6	69.5	39	7.1	21.7	17.1	5.62	72.1	7.04	26.5	93.5	9.39	7.86	25.4	12.5	36.6	7.93	60.8	86.2	71.6	24.4	39.2	70.9	59.8	60.6	52	57.1	50.8	7.68	43.3	42	68.2	54.1	22.8	18.1	19.1	45.8	25.7	57	48.1	25.3	7.37	6.14	8.14	7.52	8.52	66.7	51.8	65.2	67	26.5
Bacteroidetes	0.663	33.7	23	0.917	29.3	9.28	19.3	43.9	0.54	31.2	10.3	0.917	1.95	0.497	0.39	0.16	0.907	0.847	30	8.58	12.9	3.43	18.2	12.2	25.7	18.6	40.2	23.1	9.09	27.3	41.6	36.2	16.7	3.19	23.7	16	28.1	31.7	28.7	47.5	37.7	6.26	24.2	32.5	38.4	50.2	0.533	3.38	0.437	0.493	0.57	23.3	8.26	23.7	21.9	22.5
Fusobacteria	0.0433	10.2	21.5	0.187	0.237	3.48	0.0433	0.883	0.0633	15.1	7.32	0.213	3.42	0.0233	0.02	0.0533	0.177	0.05	9.24	2.14	3.64	0.98	0.56	0.00667	0.223	1.4	13.8	4.13	18.8	0.293	0.01	0.0233	17.1	1.08	16.9	0.363	0.01	1.49	3.69	21.1	19.8	3.96	14.1	0.393	0.04	0.95	0.01	0.297	0.00667	0.00667	0.00333	0.03	1.03	0.0667	1.21	6.2
Actinobacteria	2.13	0.0967	2.31	0.00667	0.0433	0.0733	0.44	1.8	2.17	3.77	13.5	13	14.3	2.07	0.953	0.11	1.98	2.21	0.503	0.72	13.7	1.78	0.0633	0.01	0.08	0.177	0.0433	0.03	1.13	0.0567	0	0	2.4	1.69	1.38	0.06	0.0233	0.287	0.227	0.17	0.25	0.83	2.92	0.0667	0.00333	0.0167	2.39	1.7	2.09	2.34	2.53	0.0233	0.257	0.157	0.517	4.9
Spirochaetae	0	0.223	1.14	0	0.797	1.08	0.0567	0	0	2.28	0.713	0.04	0.00333	0	0	0	0	0.01	2.37	0.717	0.343	0.213	0.49	0.00667	0	0.317	0	0	1.99	1.16	0	0.00333	1.16	0.167	2.89	0.167	0	0	0.95	0	0	0.0533	2.88	1.47	0.0667	0.147	0	0	0	0.00333	0	0.07	0.72	0.01	0.00333	4.0
Tenericutes	0	0	0.177	0	0.19	0.18	0.397	0.77	0	0.367	0.133	0.01	0.0333	0	0	0	0.00333	0	0.18	0.01	0.02	0	0.303	0.0167	0.0667	0.0267	0.00333	0.0133	0.0633	0.123	0	0.00333	0.0933	0	0.19	0.0933	0.137	0.413	0.0267	0.01	0.01	0.0133	0.14	0.12	0	0.09	0	0.00333	0	0	0	0.00667	0.337	0.53	0.967	1.0
Synergistetes	0	0.01	0.0367	0	0.0533	0.29	0.0133	0.00667	0	0.11	0.0467	0.00333	0	0	0	0	0.00667	0	0.15	0.06	0.01	0.0167	0.21	0	0	0.00333	0	0	0.103	0.0767	0	0	0.0633	0.03	0.21	0.0467	0	0	0.0233	0	0	0.00333	0.123	0.0533	0.00667	0.0133	0	0	0	0	0	0.00333	0.0633	0.00333	0	0.6
Candidate_division_SR1	0	0.453	0.0233	0	0.02	0	0.433	0.12	0.00333	0.0167	0.0367	0.0167	0.01	0	0	0	0	0	0.323	0.0533	0.09	0.00333	0	0.187	0.05	0.02	0	0.0433	0.02	0.0267	0	0	0	0.00333	0	0	0.827	0.233	0.0267	0.00333	0.09	0.01	0.247	0.0167	0.00333	0.157	0	0	0	0	0	0.00333	0	0.453	0.197	0.4
Unassigned	0.0633	0	0	0	0	0	0	0	0.0533	0	0	0	0	0.0533	0.0267	0	0.0533	0.0433	0	0	0	0.0667	0	0	0	0	0	0	0	0	0	0	0	0.0467	0	0	0	0	0	0	0	0.0267	0	0	0	0	0.08	0.0533	0.0467	0.05	0.08	0	0.0133	0	0	0.3
Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0.00667	0	0	0	0	0	0.00667	0.01	0	0	0	0.01	0	0	0	0	0.00667	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.3
Saccharibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0.00667	0.00667	0	0	0	0.0167	0.00333	0	0	0	0.03	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667	0	0	0.2
Euryarchaeota	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0.00333	0	0	0	0.00333	0	0	0.00333	0.00333	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0.2
Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.00667	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.0133	0	0	0.2
Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.00667	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.2
Gemmatimonadetes	0	0	0.00667	0.00333	0	0	0	0	0.00667	0	0.00333	0	0.01	0.00667	0	0	0	0	0.00667	0.0267	0.0167	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0.0767	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193	0	0	0.2
Chlorobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0.1
Gracilibacteria	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Elusimicrobia	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.1
