unifrac	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9
AS1	0	0.941	0.980	0.980	0.818	0.987	0.956	0.982	0.0155	0.971	0.977	0.986	0.957	0.0241	0.424	0.992	0.0433	0.0247	0.894	0.961	0.959	0.0629	0.832	0.985	0.991	0.544	0.987	0.991	0.965	0.915	0.954	0.975	0.980	0.0635	0.982	0.619	0.984	0.984	0.667	0.990	0.990	0.563	0.955	0.929	0.961	0.978	0.0244	0.0336	0.0279	0.0194	0.0354	0.980	0.586	0.979	0.987
AS2	0.941	0	0.495	0.957	0.645	0.689	0.530	0.472	0.944	0.599	0.661	0.962	0.868	0.946	0.948	0.996	0.921	0.942	0.229	0.754	0.566	0.890	0.623	0.608	0.669	0.805	0.659	0.688	0.470	0.574	0.593	0.641	0.505	0.888	0.543	0.668	0.497	0.440	0.681	0.687	0.664	0.656	0.295	0.563	0.561	0.546	0.948	0.936	0.935	0.947	0.949	0.681	0.836	0.504	0.540
AS3	0.980	0.495	0	0.958	0.547	0.614	0.477	0.513	0.982	0.349	0.530	0.928	0.844	0.984	0.985	0.994	0.959	0.980	0.538	0.816	0.595	0.927	0.666	0.627	0.636	0.762	0.482	0.604	0.446	0.525	0.637	0.650	0.355	0.928	0.348	0.721	0.597	0.511	0.643	0.477	0.484	0.653	0.447	0.487	0.527	0.476	0.987	0.953	0.974	0.986	0.987	0.683	0.851	0.460	0.490
G1	0.980	0.957	0.958	0	0.882	0.977	0.931	0.975	0.980	0.942	0.955	0.976	0.797	0.982	0.745	0.693	0.963	0.980	0.947	0.950	0.930	0.977	0.783	0.877	0.991	0.930	0.862	0.843	0.980	0.966	0.963	0.974	0.960	0.979	0.961	0.983	0.980	0.985	0.958	0.984	0.969	0.970	0.954	0.973	0.956	0.957	0.976	0.980	0.973	0.983	0.981	0.761	0.916	0.956	0.939
G2	0.818	0.645	0.547	0.882	0	0.769	0.450	0.651	0.821	0.609	0.785	0.945	0.815	0.823	0.729	0.902	0.788	0.819	0.617	0.834	0.657	0.776	0.320	0.554	0.746	0.635	0.666	0.705	0.525	0.265	0.619	0.722	0.476	0.779	0.458	0.435	0.571	0.582	0.606	0.714	0.712	0.603	0.690	0.251	0.516	0.582	0.817	0.795	0.808	0.824	0.822	0.692	0.816	0.500	0.582
G3	0.987	0.689	0.614	0.977	0.769	0	0.588	0.645	0.990	0.663	0.712	0.961	0.899	0.992	0.993	0.996	0.968	0.988	0.680	0.867	0.771	0.945	0.796	0.437	0.339	0.902	0.731	0.515	0.617	0.705	0.618	0.468	0.618	0.944	0.624	0.853	0.642	0.600	0.812	0.810	0.774	0.512	0.646	0.647	0.704	0.719	0.994	0.986	0.981	0.993	0.994	0.696	0.867	0.655	0.450
G4	0.956	0.530	0.477	0.931	0.450	0.588	0	0.408	0.959	0.607	0.730	0.949	0.860	0.960	0.935	0.970	0.928	0.957	0.619	0.825	0.613	0.923	0.495	0.332	0.466	0.760	0.581	0.459	0.318	0.385	0.403	0.493	0.350	0.925	0.439	0.491	0.235	0.267	0.659	0.675	0.679	0.543	0.594	0.304	0.396	0.547	0.954	0.931	0.946	0.962	0.959	0.598	0.864	0.146	0.285
G5	0.982	0.472	0.513	0.975	0.651	0.645	0.408	0	0.985	0.573	0.707	0.958	0.878	0.986	0.984	0.993	0.960	0.984	0.540	0.800	0.672	0.947	0.724	0.563	0.410	0.796	0.409	0.469	0.556	0.629	0.583	0.571	0.516	0.950	0.547	0.766	0.468	0.211	0.702	0.436	0.399	0.636	0.502	0.545	0.550	0.425	0.985	0.954	0.972	0.988	0.986	0.627	0.901	0.382	0.336
N1	0.0155	0.944	0.982	0.980	0.821	0.990	0.959	0.985	0	0.970	0.974	0.983	0.954	0.0198	0.420	0.986	0.044	0.0238	0.890	0.957	0.954	0.063	0.835	0.988	0.993	0.539	0.990	0.993	0.968	0.918	0.958	0.978	0.984	0.0626	0.986	0.622	0.987	0.986	0.662	0.992	0.992	0.565	0.957	0.933	0.964	0.982	0.0225	0.0384	0.0356	0.0208	0.0338	0.983	0.586	0.983	0.990
N10	0.971	0.599	0.349	0.942	0.609	0.663	0.607	0.573	0.970	0	0.462	0.852	0.801	0.974	0.961	0.975	0.940	0.970	0.538	0.786	0.679	0.915	0.734	0.766	0.694	0.756	0.578	0.658	0.576	0.634	0.768	0.743	0.401	0.916	0.304	0.806	0.745	0.634	0.659	0.591	0.520	0.700	0.446	0.613	0.680	0.509	0.970	0.945	0.961	0.977	0.975	0.722	0.836	0.610	0.609
