Alpha_diversity	richness	chao1	ACE	shannon	simpson	invsimpson
AS1	235	312.538461538462	301.341405827826	2.33828448359441	0.765495364444444	4.26430802798819
AS2	264	298.181818181818	297.749584907946	3.36409266111622	0.936655577777778	15.786709625227
AS3	275	291.5	291.873813524315	3.57724847176853	0.940109175555556	16.6970484924216
G1	144	187.157894736842	185.775655445604	1.52952102116196	0.635279131111111	2.74182281657332
G2	263	305.384615384615	307.311670336584	2.55757206708017	0.839221186666667	6.21972497039618
G3	230	269.2	267.24045092366	2.02761990276185	0.681575271111111	3.14045961031167
G4	187	214.857142857143	222.160525942267	2.85264100814524	0.8998408	9.98410530435546
G5	164	210.866666666667	212.886070740382	2.96010211625409	0.901219142222222	10.1234188738232
N1	252	485.8125	373.065031201549	2.41011696188217	0.776887262222222	4.48203903533293
N10	323	384.6	364.633660685166	4.07127756629149	0.964863928888889	28.460780285812
N11	288	329.25	331.988891237597	3.58979597974884	0.9409835	16.9444138503639
N12	150	180	184.303182444097	1.39098464337575	0.518068997777778	2.07498582865373
N13	249	307.717391304348	319.426903893994	2.54469765175951	0.86089032	7.1885723552811
N2	231	328.5	301.05878467791	2.36031487222159	0.773391933333333	4.41290557176399
N3	189	238	235.262386564106	2.44367182306049	0.854168275555556	6.85721850858972
N4	48	108	96.1481481481482	0.874151396043532	0.50936198	2.03816247261066
N5	259	320.176470588235	323.608886361296	2.51318825254496	0.787738717777778	4.7111747819985
N6	263	361.275862068966	340.46362207938	2.42801906799139	0.7788737	4.52230241269356
N7	356	381.875	382.561484627888	3.88501940439883	0.95682622	23.1622063205955
N8	322	369.042553191489	370.472226573953	1.88978469648626	0.531569406666667	2.13478797976033
N9	296	329.176470588235	325.596623497318	2.9775505217853	0.871436226666667	7.77824090000262
OC1	380	465.865384615385	466.525768557438	2.666469372231	0.794024264444444	4.85494078854876
OC10	229	294.807692307692	282.8776982585	2.41975652519841	0.819422117777778	5.53777676254605
OC11	100	170.857142857143	155.070413092773	2.28623525902367	0.822741042222222	5.64146383650556
OC12	113	140	145.533585330747	1.93928862831628	0.768701257777778	4.3234130475264
OC2	288	320.046511627907	327.837038715015	3.00737215167732	0.876391042222222	8.09002857056512
OC3	136	147.55	157.934892111208	2.82854478947538	0.898352693333333	9.83793897539571
OC4	130	151	143.754825524768	2.39257478013931	0.83246212	5.96879941419815
OC5	315	357.022222222222	361.007403063437	2.65703911843524	0.799278324444444	4.98202297899422
OC6	291	334.352941176471	351.090386450787	2.38451479179711	0.74363808	3.90073533541955
OC7	97	131.363636363636	129.943153280672	2.0217938418586	0.776934506666667	4.48298831458289
OC8	113	140	139.559613203504	1.99794289152496	0.749112162222222	3.98584486540851
OC9	267	316.5	310.056119863743	2.87472673811426	0.834654451111111	6.04794024828569
OP1	361	409.358208955224	426.096679254255	2.63359723695464	0.791356995555555	4.7928757672116
OP10	303	368.1	361.569762452335	3.26077683793113	0.876851497777778	8.12027740455579
OP11	185	246.107142857143	245.605838530839	1.65982124195763	0.678999846666667	3.1152633094277
OP12	102	156	137.589278636673	2.35575292257367	0.84484326	6.44509545637527
OP13	118	150.5	155.488895417623	2.56576960237356	0.870615502222222	7.72890119894837
OP2	325	394.512195121951	394.025623262427	3.44068732973411	0.920184724444444	12.5289299954111
OP3	128	144.153846153846	145.018625648789	2.73007914730494	0.879097402222222	8.27112087234078
OP4	157	186.25	179.428606234588	3.09901749074479	0.92699268	13.6972566586474
OP5	296	383.129032258065	366.033281151489	2.84135442118669	0.857759826666667	7.03036263641599
OP6	384	437.052631578947	430.451946324743	4.15496738763007	0.965928544444444	29.3500815769212
OP7	267	311	312.38009662186	2.56352763059784	0.806702033333333	5.17336016122949
OP8	152	213.6	241.794237846362	2.3409573150175	0.831811215555556	5.94569966899497
OP9	228	271.555555555556	274.186514325254	3.38342707167	0.931245244444444	14.5444484809778
SD1	208	265.24	266.321534546346	2.35724702437535	0.77309794	4.40718784130915
SD2	239	326.652173913043	301.648981042247	2.39590400495689	0.772512122222222	4.39583862563812
SD3	237	326.444444444444	315.954410848361	2.41601291464867	0.775878988888889	4.46187528354598
SD4	218	269.041666666667	261.769803397595	2.36956521066292	0.773512364444444	4.41525206242311
SD5	204	251.833333333333	237.971508544151	2.49335837494118	0.791502382222222	4.7962178688575
SD6	189	225.428571428571	238.561234203871	2.36086040119318	0.801973197777778	5.04982148263858
SD7	459	513.886363636364	499.844692951473	3.69518721988863	0.928926866666667	14.0700142669945
SD8	162	223.25	229.427698656251	2.66199323605203	0.869835177777778	7.68256724764516
SD9	149	164.4	166.745913921054	2.55388580502166	0.834691897777778	6.04931026705339
