DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9
LEGEND_COLORS	#e5e5e5	#1f78b4
LEGEND_LABELS	Min. (0)	Max. (20485)
LEGEND_SHAPES	1	1
LEGEND_TITLE	OTUID
MARGIN	5
STRIP_WIDTH	50
DATA
ASV_1	12236	8	0	598	0	0	0	0	11756	0	0	0	33	11826	7220	2	11793	11847	8	15	11	11375	0	0	0	13	0	0	0	3	12	0	1	11517	0	0	0	0	7	0	6	5692	3	0	7	0	11866	12130	12208	12026	11424	0	825	0	0
ASV_2	7471	1	1	3	0	0	0	0	7546	0	0	0	325	7641	4671	0	6763	7260	4	0	2	7135	1	0	0	4	0	0	0	1	1	0	0	7063	0	0	0	0	0	0	1	3352	1	0	4	0	7594	7211	6785	7308	7158	0	6145	1	0
ASV_3	9	2201	4453	1	9783	2875	3381	1217	8	2972	1354	154	54	3	2	2	0	14	1350	417	5755	172	9679	2478	446	364	693	324	11964	14417	4609	1311	11142	261	9522	12070	4206	1378	314	1677	1146	30	2270	11650	7155	2221	0	6	0	2	0	316	1239	2923	527
ASV_4	17	3365	3022	77	1066	15901	4859	1629	34	1492	2386	363	245	0	7	6	28	10	2435	1085	1598	23	55	10171	6258	165	3011	9457	5486	2796	6083	11280	3369	19	2585	198	5992	1278	138	553	950	8530	3226	4247	3025	1905	0	8	205	2	0	2207	36	3625	1616
ASV_5	2	7	0	15771	2977	2	818	77	9	73	74	13	853	3	4384	9155	299	6	115	398	43	3	6913	3125	27	154	1501	921	1	299	262	75	1	2	1	11	186	8	141	120	169	126	10	230	91	73	229	2	123	3	98	11866	56	155	1158
ASV_8	71	238	1046	117	149	74	5740	3814	20	453	192	21	367	5	3	2	463	1	64	31	63	232	75	5453	2521	548	2065	2318	52	168	5	7	41	204	155	17	8266	6164	639	595	2066	3035	112	74	5	85	0	13	116	0	0	53	38	8809	5669
ASV_10	0	2	23	0	1	0	0	0	147	161	3827	20485	1224	24	5380	1848	11	1	709	20437	8205	16	0	1	0	1120	0	0	5	1	0	0	9	79	5	0	0	4	491	0	2	2	0	1	1	0	1	2	13	1	0	6	12	1	0
ASV_7	0	377	46	0	732	1	3	73	0	28	34	11	3	0	0	0	0	1	199	57	466	0	0	0	96	357	0	1	15	1098	11664	9522	7	0	15	7	0	31	44	4	0	48	297	684	8939	4472	0	0	1	0	0	3726	4	1	78
ASV_6	2	0	0	8648	0	0	2	1	14	0	1	0	6	1	2736	18824	172	0	0	4	65	9	0	0	0	1108	2218	6093	0	1	0	0	0	5	0	0	0	0	394	61	418	131	0	0	0	0	2	3	143	2	5	0	173	0	0
ASV_9	0	37	355	25	65	8	2696	4022	0	41	84	7	1424	0	0	0	47	0	24	2	24	3	0	2641	11676	22	0	0	3	128	1193	605	4	0	11	0	527	6330	5	0	0	709	10	562	1465	293	0	0	52	0	0	3701	6	2047	10040
ASV_11	15	0	0	17	0	0	3	6	6	0	0	0	0	12	20	8	43	0	0	0	0	27	0	0	0	1698	5992	3028	0	1	0	1	3	17	0	0	0	1	1771	7041	4446	311	0	0	2	11	3	436	0	0	0	1	0	0	0
ASV_12	18	0	3	9	5	0	48	149	6	3	1	0	1	9	28	15	32	0	0	0	0	36	0	0	42	1301	5334	2704	0	52	3	89	0	10	3	2	3	40	1439	6182	3972	261	1	51	214	477	5	373	0	0	0	23	0	35	33
ASV_13	1522	0	0	0	0	0	0	0	1517	0	0	0	1	1362	846	0	1636	1523	1	1	2	1460	0	0	0	1	0	0	0	0	2	0	0	1449	0	0	0	0	0	0	0	663	0	0	1	0	1522	1535	1776	1491	1493	0	5	0	0
ASV_15	1	630	203	2	383	23	457	100	2	362	193	24	11	3	1	0	3	4	452	91	279	14	3766	13	3	5315	99	4	698	1639	465	199	235	22	147	11737	16	12	3132	15	7	2	360	1008	340	205	1	5	12	1	2	169	109	31	9
ASV_14	4	0	2701	4	0	60	2248	6471	0	2731	1146	159	252	0	1	0	0	0	2	0	15	0	313	347	4738	2	1	11	3	0	1	0	1825	5	1803	240	578	4582	8	2	47	37	5	0	1	3	0	0	0	0	0	1	67	2415	2417
ASV_16	0	4158	160	0	23	56	517	1763	0	192	51	3	53	0	0	0	0	8	2946	910	488	0	1	310	1843	2	0	13	30	4	38	190	28	0	60	2	3187	2911	1	7	2	0	1502	5	629	386	0	0	0	3	0	840	2	1534	1819
ASV_17	974	0	0	15	0	0	0	0	1021	0	0	0	8	1077	588	0	954	958	0	0	5	916	0	0	1	0	0	0	0	0	0	0	0	1035	0	0	0	0	0	0	0	476	0	0	2	0	1036	997	1056	935	825	0	190	1	0
ASV_19	821	1	0	0	0	0	0	0	795	0	0	0	1	996	452	0	924	938	1	0	0	804	0	0	0	0	0	0	0	1	2	0	0	826	0	0	0	0	0	0	0	293	0	0	0	0	812	738	952	911	784	0	11	0	0
ASV_18	0	12	6	0	385	8	278	53	0	0	0	1	1	1	3	0	0	0	1	3	6	2	1134	56	4	8350	17	1	12	42	19	15	1	6	1	224	36	17	6754	1	3	0	1	7	14	16	0	0	1	0	0	3	84	15	2
ASV_21	0	11	16	0	3198	13	0	0	0	1	1	0	0	0	0	0	0	0	404	57	51	12	1	0	0	9	0	0	41	3065	6	26	2	9	10	0	0	0	12	0	0	3	56	3816	49	498	0	0	0	0	0	109	0	3	0
ASV_20	0	821	1	0	4745	0	230	40	0	0	1	0	4	0	0	0	0	1	2422	420	332	0	59	112	18	0	3	0	8	594	613	223	1	0	1	14	147	201	6	0	0	1	598	850	516	72	0	0	0	0	0	102	3	244	24
ASV_22	1	2653	2	0	3	1	40	140	0	10	0	0	2	0	0	0	0	8	2097	608	309	0	0	7	22	7	2	0	7	2	1841	2005	1	0	1	1	5	35	1	0	1	0	1001	5	1006	1319	0	0	0	0	0	1067	1	36	130
ASV_23	0	460	263	1	0	1	0	0	3	288	142	7	4	1	0	8	16	2	119	40	81	2	0	0	0	10	1418	416	692	0	0	0	77	1	39	4	1	0	28	2813	1803	88	607	1	0	2	0	6	0	0	0	0	1	0	0
ASV_24	1	1214	394	0	69	118	830	134	0	313	149	11	31	0	0	0	0	6	851	147	732	99	1373	739	43	108	0	0	755	132	101	47	459	69	362	2031	2203	186	380	1	0	1	927	143	57	48	0	0	0	3	0	36	174	791	216
ASV_26	0	728	1314	57	41	205	476	133	0	668	371	17	24	0	1	1	0	2	525	143	236	0	212	86	34	9	2	4	12	87	429	263	541	0	475	32	58	26	30	8	8	18	236	49	2096	1063	0	1	1	0	0	1056	82	1142	287
ASV_25	502	0	0	12	0	0	0	0	510	0	0	0	97	483	180	0	437	550	0	0	0	475	0	0	0	0	0	0	0	1	0	0	0	426	0	0	0	0	0	0	0	129	0	0	1	0	489	477	380	485	607	0	2515	0	0
ASV_27	0	3	5	0	19	0	120	132	0	1	0	0	7	0	0	0	0	0	27	4	34	0	4	2	38	6	32	29	4	329	34	379	0	0	0	0	14	64	12	35	39	3	21	173	1271	4740	0	4	0	0	0	987	2	176	75
ASV_28	0	50	193	1	2	6	0	0	3	19	46	0	0	1	6	3	0	0	15	5	170	10	6	0	0	82	1123	453	24	14	303	787	23	9	28	1	0	0	75	1574	212	3	13	9	751	993	0	5	0	0	0	254	7	0	0
ASV_29	10	155	39	31	5	23	0	0	8	173	25	4	6	1	2	3	19	1	74	27	28	105	2	0	2	151	884	291	326	5	1	1	652	124	375	8	0	0	453	535	1728	558	399	11	3	81	0	12	1	0	0	3	0	0	2
ASV_30	487	0	0	0	0	0	0	0	471	0	0	0	2	476	190	0	431	590	0	0	1	425	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	1	0	1	119	1	0	0	0	452	390	407	571	648	0	73	0	0
ASV_32	453	0	0	0	0	0	0	0	431	0	0	0	0	437	205	0	431	464	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	1	0	1	141	0	0	0	0	521	394	443	505	526	0	30	0	0
ASV_36	324	4	0	9	21	0	10	1	361	0	0	0	40	358	236	0	329	336	5	1	1	311	36	1	0	161	0	0	0	10	9	0	0	367	0	36	1	1	87	0	0	120	4	5	7	7	323	376	305	340	288	2	1019	1	0
ASV_923	361	0	0	0	0	0	0	0	404	0	0	0	0	444	203	0	380	405	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	179	0	0	0	0	407	402	347	427	526	0	5	0	0
ASV_33	3	22	77	5	0	15	0	0	0	137	57	6	0	3	2	0	7	0	16	2	9	5	4	0	0	48	964	162	56	1	0	13	25	7	24	3	0	0	59	1255	2075	174	11	3	0	6	0	1	1	0	0	24	3	1	2
ASV_34	0	0	555	0	0	0	0	0	0	609	3129	2253	4187	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
