DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	ASP
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.0), Max. (19.5)
LEGEND_SHAPES	1
LEGEND_TITLE	ASP
MARGIN	5
WIDTH	200
DATA
ASV_1	19.536388
ASV_2	12.112202
ASV_3	2.872507
ASV_4	4.33015
ASV_5	1.2001436
ASV_8	12.020245
ASV_10	0.002905952
ASV_7	0.06062271
ASV_6	0.006087604
ASV_9	10.094368
ASV_11	0.343166629
ASV_12	0.37133319
ASV_13	2.5247466
ASV_15	0.05033892
ASV_14	4.11428721
ASV_16	2.8088654
ASV_17	1.5864332
ASV_19	1.2774724
ASV_18	0.01067825
ASV_21	0.001530487
ASV_20	0.22473583
ASV_22	0.1444137
ASV_23	0.004036069
ASV_24	0.8370398
ASV_26	1.1898373
ASV_25	0.8700537
ASV_27	0.22398499
ASV_28	0.002971298
ASV_29	0.01034436
ASV_30	0.8539037
ASV_32	0.7309842
ASV_36	0.5353114
ASV_923	0.7700183
ASV_33	0.005211924
ASV_34	0.0015129066
ASV_35	0.011899935
ASV_38	0.01661711
ASV_934	0.640292
ASV_37	1.6512047
ASV_39	0.0102478107
ASV_43	0
ASV_40	0.47750447
ASV_42	0.50748942
ASV_50	0.007582114
ASV_41	0.0025332315
ASV_44	0.07793307
ASV_46	0.006731837
ASV_49	0
ASV_48	0.39253135
ASV_47	0.18357344
ASV_879	0.47536636
ASV_53	0.07074011
ASV_51	0.01534944
ASV_54	0.001002744
ASV_52	0
ASV_59	0.61990816
ASV_57	0.005031301
ASV_58	0.01834554
ASV_61	0.0388960534
ASV_744	0.47692009
ASV_63	0.925897225
ASV_67	1.084290172
ASV_71	0.0009851634
ASV_70	0.0002736188
ASV_62	0.0002736188
ASV_69	0.0004925817
ASV_65	0.022594834
ASV_68	0
ASV_74	0.0002203692
ASV_77	0.0231513408
ASV_93	0.51192913
ASV_82	0.01194503
ASV_80	0.0030609746
ASV_81	0.0005101624
