DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	G
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.0), Max. (12.5)
LEGEND_SHAPES	1
LEGEND_TITLE	G
MARGIN	5
WIDTH	200
DATA
ASV_1	8.512616
ASV_2	5.033458
ASV_3	10.944829
ASV_4	4.975139
ASV_5	12.468321
ASV_8	1.075453
ASV_10	0.016314308
ASV_7	0.78867016
ASV_6	5.781087187
ASV_9	0.319371
ASV_11	0.023970344
ASV_12	0.022174
ASV_13	1.0363722
ASV_15	0.81449714
ASV_14	1.82112726
ASV_16	2.9116074
ASV_17	0.6560212
ASV_19	0.5468969
ASV_18	0.27241443
ASV_21	2.15226724
ASV_20	3.71014801
ASV_22	1.77125844
ASV_23	0.486334873
ASV_24	1.1103258
ASV_26	1.4610929
ASV_25	0.3203348
ASV_27	0.01742621
ASV_28	0.158389748
ASV_29	0.16112995
ASV_30	0.3095749
ASV_32	0.3034927
ASV_36	0.2287992
ASV_923	0.2531391
ASV_33	0.066965974
ASV_34	0.3588980314
ASV_35	0.012341473
ASV_38	0.10443958
ASV_934	0.23231329
ASV_37	0.6138756
ASV_39	0.0001993223
ASV_43	1.42761374
ASV_40	0.18665083
ASV_42	0.20838744
ASV_50	0.434623543
ASV_41	1.7208708527
ASV_44	0.82221482
ASV_46	0.005933436
ASV_49	0.38548519
ASV_48	0.07684816
ASV_47	0.28495293
ASV_879	0.16413835
ASV_53	0.02271294
ASV_51	0.03186939
ASV_54	0.111984129
ASV_52	1.1242664241
ASV_59	0.03328439
ASV_57	0.405049638
ASV_58	0.48094162
ASV_61	0
ASV_744	0.02707747
ASV_63	0.148348344
ASV_67	0.516148382
ASV_71	0.5915994916
ASV_70	0.4560487354
ASV_62	0.0229416291
ASV_69	2.0570254297
ASV_65	0.007851086
ASV_68	0.003280212
ASV_74	0.6658122527
ASV_77	0.0589738549
ASV_93	0.08994395
ASV_82	0.16595268
ASV_80	0.3412014306
ASV_81	0.0162880171
