DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	OC
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.0), Max. (13.3)
LEGEND_SHAPES	1
LEGEND_TITLE	OC
MARGIN	5
WIDTH	200
DATA
ASV_1	3.165339
ASV_2	1.985035
ASV_3	13.326608
ASV_4	11.902439
ASV_5	3.7555024
ASV_8	3.727348
ASV_10	8.473302858
ASV_7	0.62330983
ASV_6	2.590889691
ASV_9	4.00341
ASV_11	2.981769302
ASV_12	2.64846381
ASV_13	0.403401
ASV_15	3.41543135
ASV_14	1.52023408
ASV_16	1.8114511
ASV_17	0.2586665
ASV_19	0.224194
ASV_18	2.69487397
ASV_21	1.011486829
ASV_20	1.08352148
ASV_22	0.83489887
ASV_23	0.77291608
ASV_24	1.3867362
ASV_26	0.3668624
ASV_25	0.1278182
ASV_27	0.13790995
ASV_28	0.523115536
ASV_29	0.53746464
ASV_30	0.1104155
ASV_32	0.1124182
ASV_36	0.1409857
ASV_923	0.1040688
ASV_33	0.369649471
ASV_34	0.0013986175
ASV_35	0.117598348
ASV_38	0.10068321
ASV_934	0.09006392
ASV_37	0.1834461
ASV_39	0.0028106109
ASV_43	0.21877984
ASV_40	0.06836039
ASV_42	0.09578873
ASV_50	0.711892968
ASV_41	0.763054425
ASV_44	0.41906528
ASV_46	0.015681062
ASV_49	0.31210625
ASV_48	0.11638427
ASV_47	0.25775449
ASV_879	0.05895456
ASV_53	0.40748894
ASV_51	0.48840097
ASV_54	0.020268673
ASV_52	0.6279382833
ASV_59	0.06546478
ASV_57	0.136137914
ASV_58	0.18992862
ASV_61	0
ASV_744	0.32450654
ASV_63	0.482469979
ASV_67	0.110739008
ASV_71	0.2044381669
ASV_70	0.2599094067
ASV_62	0.7919561215
ASV_69	0.0506356874
ASV_65	0.041211725
ASV_68	0
ASV_74	0.1433775545
ASV_77	0.0002978229
ASV_93	0.07600262
ASV_82	0.06544185
ASV_80	0.0319656149
ASV_81	0.0001487272
